age,sex,marital_status,residence,education,occupation,out_of_region_employment,family_members,family_disabilities,house_floor,earthquake80,political_orientation,shocks,fear,anxiety,physiological_symptoms,decision_timeliness,insomnia,seismic_concern,abroad,out_of_region,out_of_region_earthquake,change_of_residence,change_of_residence_earthquake,red_zone_frequency,radio_info,TV_info,social_media_info,newspaper_info,app_info,municipal_institutions_trust,regional_institutions_trust,national_institutions_trust,INGV_trust,security,reception_centers,property_house,housing_type,elevator,n_vehicles,vehicle_type,end_of_month,salary
21,Male,Unmarried,Napoli,Upper Secondary School,Student,No,4,No,1,No,Left,3,2,2,2,3,1,2,Yes,Yes,No,No,No,No,3,4,2,4,4,3,3,3,4,2,No,Yes,Apartment,Yes,0,None,1,Up to €15000
21,Female,Unmarried,Napoli,Upper Secondary School,Student,No,5,No,4,No,Center,1,2,2,1,3,2,4,Yes,Yes,No,Yes,No,Yes,3,2,2,2,2,2,2,2,3,1,No,Yes,Other,Yes,5,Car and Motorcycle,1,Between €28000 and €50000
21,Female,Unmarried,Napoli,Upper Secondary School,Student Worker,No,5,No,4,No,Left,3,2,2,1,4,2,3,Yes,Yes,Yes,Yes,Yes,Yes,2,2,2,2,2,2,2,2,5,3,Yes,Yes,Apartment,Yes,0,None,1,Between €15000 and €28000
23,Male,Unmarried,Quarto,Upper Secondary School,Student,No,5,No,2,No,None,3,3,3,3,1,3,4,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1,1,No,No,Apartment,No,2,Car,5,Up to €15000
64,Female,Unmarried,Somma Vesuviana,Degree,Retired,No,1,No,2,Yes,Left,4,4,4,3,2,3,4,Yes,No,No,Yes,Yes,Yes,3,3,3,3,3,2,3,2,4,2,No,No,Apartment,Yes,0,None,3,Between €15000 and €28000
22,Female,Unmarried,Pollena Trocchia,Upper Secondary School,Student,No,4,No,1,No,None,2,3,4,1,3,3,4,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,3,3,3,3,3,3,No,Yes,Apartment,No,2,Car,2,Between €15000 and €28000
26,Female,Unmarried,Cancello Ed Arnone,Upper Secondary School,Student Worker,No,4,No,0 (Ground Floor),No,,2,3,3,1,2,3,3,Yes,Yes,No,Yes,No,No,3,3,3,3,3,1,1,3,3,1,No,Yes,Villa/Small Villa,No,3,Car,1,Between €28000 and €50000
22,Male,Unmarried,Pollena Trocchia,Degree,Student,No,4,No,1,No,Right,1,3,3,1,4,1,3,Yes,Yes,No,Yes,No,Yes,2,2,3,2,4,1,1,3,4,2,No,No,Apartment,No,2,Car,1,
40,Female,Cohabiting,Napoli,Degree,Employee,No,3,No,2,No,Left,2,4,5,5,2,3,5,Yes,Yes,No,Yes,No,No,4,4,4,3,4,2,2,3,5,1,No,Yes,Apartment,Yes,2,Car and Motorcycle,1,Between €28000 and €50000
42,Female,Married,Napoli,Postgraduate Degree,Employee,No,4,No,0 (Ground Floor),No,Right,1,1,2,1,2,1,4,Yes,Yes,No,Yes,No,Yes,4,4,3,3,3,2,1,3,4,1,Yes,Yes,Villa/Small Villa,No,2,Car and Motorcycle,2,
36,Male,Unmarried,Villaricca,Postgraduate Degree,Employee,No,2,No,1,No,Left,2,2,1,1,3,1,4,Yes,Yes,No,Yes,No,Yes,1,1,1,1,1,1,2,1,4,3,No,Yes,Villa/Small Villa,No,1,Car,2,Up to €15000
30,Female,Unmarried,San Giuseppe Vesuviano,Degree,Student,No,5,Yes,1,No,,1,2,2,1,1,1,1,Yes,No,No,No,No,Yes,2,2,3,2,3,2,1,1,5,1,No,Yes,Apartment,No,3,Car and Motorcycle,1,
22,Female,Unmarried,Quarto,Upper Secondary School,Student,No,5,,0 (Ground Floor),No,,2,1,2,2,1,1,2,Yes,Yes,No,Yes,No,Yes,3,3,3,3,3,1,1,1,4,3,No,No,Villa/Small Villa,No,1,Car,3,
42,Female,Unmarried,Pozzuoli,Postgraduate Degree,Self-Employed,No,2,No,1,No,Left,4,3,3,2,1,2,2,Yes,Yes,Yes,Yes,Yes,Yes,1,1,2,1,2,1,1,1,3,1,No,No,Apartment,No,1,Car,4,Up to €15000
20,Female,Unmarried,Napoli,Upper Secondary School,Student,No,3,No,0 (Ground Floor),No,Left,4,3,4,1,2,1,3,Yes,Yes,No,Yes,No,Yes,1,1,2,2,3,3,2,1,4,3,Yes,No,Apartment,No,0,None,1,Up to €15000
36,Female,Married,Lusciano,Degree,Employee,No,4,No,2,No,None,1,2,2,3,2,2,2,Yes,Yes,No,Yes,No,No,2,2,3,2,3,1,1,1,3,1,No,Yes,Apartment,No,1,Car,1,Between €15000 and €28000
22,Female,Unmarried,Pozzuoli,Degree,Student,No,3,No,3,No,Center,4,4,4,2,2,5,4,Yes,Yes,Yes,Yes,Yes,Yes,2,3,2,3,4,3,3,2,4,3,Yes,No,Apartment,No,1,Car,2,Up to €15000
20,Female,Unmarried,Napoli,Upper Secondary School,Student,No,4,No,1,No,Left,3,3,4,3,4,4,4,Yes,Yes,No,Yes,No,Yes,4,4,3,4,3,3,3,3,4,2,No,Yes,Apartment,No,1,Car,3,Up to €15000
22,Male,Unmarried,Napoli,Degree,Student,No,5,No,0 (Ground Floor),No,Left,3,4,4,4,3,3,5,No,Yes,No,Yes,No,Yes,3,2,4,2,4,2,3,2,4,3,Yes,No,Apartment,No,1,Car,4,Between €15000 and €28000
22,Female,Unmarried,Napoli,Degree,Student,No,3,No,1,No,,1,3,4,3,3,2,4,Yes,Yes,Yes,Yes,Yes,Yes,2,2,2,2,2,3,3,3,3,2,No,Yes,Villa/Small Villa,No,2,Car,2,Between €15000 and €28000
23,Female,Unmarried,Pozzuoli,Upper Secondary School,Student,No,5,No,0 (Ground Floor),No,,5,3,3,2,3,3,3,Yes,Yes,No,Yes,No,Yes,3,3,3,3,3,2,2,2,3,2,No,Yes,Villa/Small Villa,No,2,Car and Motorcycle,4,Up to €15000
55,Female,Unmarried,Potenza,Degree,Employee,No,2,No,3,Yes,Center,3,4,3,3,3,3,4,Yes,Yes,Yes,Yes,Yes,Yes,3,3,3,3,3,3,3,3,3,3,Yes,Yes,Apartment,No,1,Car,3,Up to €15000
22,Male,Unmarried,Pompei,Degree,Student,Yes,2,No,0 (Ground Floor),No,None,2,2,2,1,2,2,3,Yes,Yes,No,Yes,No,Yes,3,2,4,4,4,3,2,1,4,3,Yes,Yes,Apartment,No,1,Car,2,
25,Female,Unmarried,Acerra,Degree,Student,No,4,No,2,No,Left,1,1,1,1,1,1,3,Yes,Yes,No,Yes,Yes,No,1,3,1,1,4,1,1,3,5,1,No,Yes,Apartment,Yes,0,None,2,Between €28000 and €50000
23,Male,Unmarried,Pozzuoli,Degree,Student,No,5,No,0 (Ground Floor),No,,3,2,1,1,3,1,1,Yes,Yes,No,Yes,No,Yes,1,1,5,3,4,3,3,3,5,3,Yes,Yes,Villa/Small Villa,No,3,Car,2,Between €15000 and €28000
30,Female,Unmarried,Frattaminore,Degree,Employee,No,4,No,1,No,None,1,4,4,4,2,4,5,Yes,Yes,No,Yes,No,No,3,3,3,3,3,2,2,2,3,2,No,Yes,Apartment,No,1,Car,2,
34,Male,Unmarried,Acerra,Postgraduate Degree,Employee,No,4,No,0 (Ground Floor),No,Right,1,5,3,1,3,1,2,No,Yes,No,Yes,No,No,3,3,3,3,3,2,2,3,4,2,No,Yes,Apartment,No,2,Car,1,Between €15000 and €28000
27,Female,Unmarried,Cirò Marina,Degree,Student Worker,Yes,5,No,2,No,None,2,4,5,3,4,4,5,Yes,Yes,Yes,Yes,No,No,4,5,5,3,4,3,3,4,4,3,No,Yes,Other,No,1,Car,3,Up to €15000
67,Female,Married,Pozzuoli,Elementary School,Retired,No,4,No,3,Yes,None,3,3,2,1,5,1,5,Yes,Yes,Yes,No,No,Yes,1,1,2,1,1,1,1,1,2,3,No,No,Apartment,Yes,1,Car,5,Up to €15000
35,Female,Unmarried,Napoli,Postgraduate Degree,Employee,No,3,No,5,No,,3,4,4,3,3,4,5,Yes,Yes,Yes,Yes,Yes,Yes,2,2,3,3,4,2,2,2,4,2,Yes,Yes,Apartment,Yes,1,Car,2,
29,Female,Unmarried,Qualiano,Postgraduate Degree,Employee,No,4,No,2,No,None,1,3,4,1,1,1,4,Yes,Yes,No,Yes,No,Yes,2,2,2,2,3,1,1,1,2,1,No,Yes,Apartment,No,1,Car,3,Between €15000 and €28000
21,Female,Unmarried,Somma Vesuviana,Upper Secondary School,Student,No,Over 5,No,3,No,,1,1,1,1,3,1,1,Yes,Yes,Yes,Yes,Yes,Yes,3,3,2,3,1,3,3,3,4,3,No,Yes,Apartment,Yes,0,None,1,Up to €15000
23,Female,Unmarried,Napoli,Upper Secondary School,Student,No,1,No,3,No,,3,4,4,3,1,5,5,Yes,Yes,Yes,Yes,Yes,Yes,1,1,2,1,1,2,2,3,3,1,No,No,Apartment,Yes,1,Car,3,
25,Female,Unmarried,Napoli,Postgraduate Degree,Employee,No,4,No,4,No,,4,4,3,5,2,5,4,Yes,Yes,No,Yes,Yes,Yes,1,1,3,4,3,2,2,2,5,2,No,No,Apartment,Yes,2,Car and Motorcycle,4,Up to €15000
28,Female,Unmarried,Somma Vesuviana,Postgraduate Degree,Student,No,Over 5,No,3,No,None,1,1,1,1,1,1,3,Yes,Yes,No,No,Yes,Yes,2,2,4,2,3,1,1,1,2,1,No,Yes,Apartment,Yes,2,Car,1,Over €50000
